date,count
May 2017,23372
Apr 2017,595
Mar 2017,266
Dec 2016,204
Feb 2017,150
Aug 2016,119
Jan 2016,114
Nov 2016,107
Jan 2017,100
Jul 2016,90
Sep 2016,74
May 2016,66
Oct 2016,58
Feb 2016,55
Mar 2016,42
Apr 2016,40
Jun 2016,37
Dec 2015,31
Aug 2015,28
Apr 2015,22
Sep 2015,18
Nov 2015,14
May 2014,12
Jul 2015,10
May 2015,8
Oct 2015,8
Jul 2011,7
Jun 2014,7
Sep 2013,7
Feb 2015,6
Mar 2015,6
Feb 2013,5
Jun 2013,5
Nov 2012,5
Apr 2012,5
May 2013,5
Nov 2014,4
Jul 2014,4
Jan 2013,3
Jul 2012,3
Jun 2015,3
Aug 2014,3
Aug 2012,3
Oct 2014,3
May 2012,3
Mar 2013,3
Apr 2013,3
Dec 2014,2
Jan 2015,2
Sep 2011,2
Nov 2011,2
Mar 2014,2
Apr 2014,2
Jan 2012,2
Feb 2014,2
Jan 2011,2
Nov 2013,1
Oct 2012,1
Dec 2010,1
Dec 2009,1
Dec 2013,1
Feb 2012,1
Nov 2010,1
Jan 2014,1
May 2008,1
Aug 2010,1
Sep 2009,1
Aug 2013,1
Jul 2013,1
Jun 2012,1
Oct 2011,1
