,screen_name,fav_count,tweet
0,TheEllenShow,2391821,If only Bradley's arm was longer. Best photo ever. #oscars http://t.co/C9U5NOtGap
1,BarackObama,1105225,"Happy Valentine’s Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN"
2,carterjwm,955273,HELP ME PLEASE. A MAN NEEDS HIS NUGGS https://t.co/4SrfHmEMo3
3,_justcallmekidd,607653,"My step dad told me it was pointless to go to orientation, I wasn't going to graduate.....4 years later he in jail… https://t.co/6T2IiFlcPU"
4,BTS_twt,511776,보고싶네요 모두 😭 https://t.co/nPlpvi5Fe2
5,BTS_twt,501024,해피 어린이날 https://t.co/KtcZWDk9AR
6,BTS_twt,478283,"고마워요
#JIMIN
#Thanks_Indonesia https://t.co/QeuDVqbpCn"
7,BTS_twt,468517,"고마워요 마닐라
#JIMIN
#Thanks_Manila https://t.co/wbSo85S2LO"
8,OhDearOOMF,464005,Wow I'd love this text rn http://t.co/IXayEq0NHD
9,BTS_twt,462203,Thank u BANGKOK https://t.co/zTrwKIaJxF
10,BTS_twt,454918,"☺️👏👍
#JIMIN https://t.co/eVHazYk27q"
11,BTS_twt,449112,다녀올게여~~😍😍🛫#아미~~~~ https://t.co/zUv89mBnzf
12,robdyrdek,448889,My heart is broken. I don't want write this post. I don't want to believe that this is reality. I am so thankful fo… https://t.co/HfNMfg59S3
13,BTS_twt,446553,"😄WoW
#JIMIN https://t.co/MqMnAezM2L"
14,BTS_twt,443343,"#JIMIN
#👋 https://t.co/ns31DeEhq5"
15,BTS_twt,442669,https://t.co/C94q5OKr3Z
16,BTS_twt,433587,🍌 #김데일리 https://t.co/PkrXSuT98u
17,BTS_twt,426776,teamwork makes the dream work. https://t.co/KZTngn8RFB
18,najahtaa,423636,who is she 👏🏿 https://t.co/amElWRGFdp
19,BTS_twt,413885,"☺️
#JIMIN
#호비 https://t.co/H5XPiJc4Mz"
20,BTS_twt,405490,쌀라맛~~👋😙🐶 https://t.co/v1jPHgPfy5
21,BTS_twt,401341,몬이 소환 https://t.co/QqNXRvKaJV
22,BTS_twt,397914,제이홉 소환 https://t.co/QE0mBcARNw
23,BTS_twt,392137,Happy Night 🍇 https://t.co/TlkYYx21hF
24,BTS_twt,390528,#2017투표했어요 https://t.co/fjdveiIn1D
25,BTS_twt,384307,"진짜 진짜 재밌었고 행복했어요...😊
다시 올 때까지 우리 잊으면 안돼요!!! 
고마웠어요 💋 https://t.co/LuHQfSPLGt"
26,BBMAs,383063,RT to vote for @BTS_twt for Top Social Artist at the #BBMAs! #BTSBBMAs https://t.co/Uo8zZOn7YB https://t.co/kRzL35GqTZ
27,thebaemarcus,379688,Especially when you hit decline and go to sleep https://t.co/SsxZL2QAyy
28,BTS_twt,379024,나중에 올릴라고 아껴둔건디 ㅡㅡ 이거밖에없네 솔직히말해서 #yes 그래 #yes oh#yes https://t.co/VrYLDh3rkL
29,BTS_twt,375575,https://t.co/xiOdvjf4vq
30,robdyrdek,366306,I am so thankful for this moment... thank you for being an amazing human being and brother. https://t.co/B331OfraKa
31,BTS_twt,360086,"애교 왕창 김태형 패스
#Jimin https://t.co/oZDKkMz1XV"
32,BTS_twt,357996,"꼬북꼬북
#JIMIN
#꼬북꼬북 https://t.co/ccPRQPv6TR"
33,BTS_twt,357338,"오늘 진심으로 고마워요~~감사합니다
#JIMIN
#우리아미상받았네
#엠카운트다운 https://t.co/tz97WxcCc0"
34,BTS_twt,353281,"#JIMIN
#모니 https://t.co/oKMGvWKpXh"
35,BTS_twt,352881,"Good night🌙
#JIMIN https://t.co/7axgtDz0uz"
36,BTS_twt,351106,투표장 앞에서 투표 홍보대사와 함께 https://t.co/SZzC8VaSol
37,ProtestPics,338245,"Just because you can't see it, Doesn't mean mental illness doesn't exist. https://t.co/OtUijcFleA"
38,TheRealSchitty,333661,"Card declined on Ramen noodles. I was buying one bag. Cashier said ""man just take it"" https://t.co/HA2MDYjMa0"
39,eIegytothevoid,327941,u know these people r bout to name their kid mckayleigh or braxtynn https://t.co/7bvr4iDULo
40,Michael5SOS,317462,"Real bands save fans, real fans save bands"
41,Kirika_ma_cos,304839,新手のオモチャかお前は http://t.co/9VUwmvnqKe
42,BTS_twt,304142,"이걸 안올렸네
#JIMIN
#진이랑_이제_친구 https://t.co/avj4AmFLyX"
43,muminuh,299509,this gif never fails to brighten up my day https://t.co/S8mddqcWe7
44,colesprouse,298774,You. Can't. Hang. With. Us. https://t.co/Dt9bCGYaMc
45,alec_vercher,293776,Prom 1994 and 2017 like father like son https://t.co/eLC6oW11y0
46,justinbieber,293211,#DespacitoRemix https://t.co/ROULx0zv9X
47,BTS_twt,291225,#진생일ㅊㅋ jk 안녕 마지막은 내가장식한다 https://t.co/Pxh37eW4dB
48,Gwendowhatever,283740,"me: has 13 papers and 45 finals on monday
my brain for the past 3 days: 
 https://t.co/cLxjH0pZle"
49,Harry_Styles,283050,Thinking about everyone involved in the Earthquake in Nepal.. Such awful news.
